OverallQual,GrLivArea,GarageCars,TotalBsmtSF,YearBuilt,FullBath,1stFlrSF,TotRmsAbvGrd,SalePrice
7,1710,2,856,2003,2,856,8,208500
6,1262,2,1262,1976,2,1262,6,181500
7,1786,2,920,2001,2,920,6,223500
7,1717,3,756,1915,1,961,7,140000
8,2198,3,1145,2000,2,1145,9,250000
5,1362,2,796,1993,1,796,5,143000
8,1694,2,1686,2004,2,1694,7,307000
7,2090,2,1107,1973,2,1107,7,200000
7,1774,2,952,1931,2,1022,8,129900
5,1077,1,991,1939,1,1077,5,118000
5,1040,1,1040,1965,1,1040,5,129500
9,2324,3,1175,2005,3,1182,11,345000
5,912,1,912,1962,1,912,4,144000
7,1494,3,1494,2006,2,1494,7,279500
6,1253,1,1253,1960,1,1253,5,157000
7,854,2,832,1929,1,854,5,132000
6,1004,2,1004,1970,1,1004,5,149000
4,1296,2,0,1967,2,1296,6,90000
5,1114,2,1114,2004,1,1114,6,159000
5,1339,1,1029,1958,1,1339,6,139000
8,2376,3,1158,2005,3,1158,9,325300
7,1108,1,637,1930,1,1108,6,139400
8,1795,2,1777,2002,2,1795,7,230000
5,1060,2,1040,1976,1,1060,6,129900
5,1060,1,1060,1968,1,1060,6,154000
8,1600,3,1566,2007,2,1600,7,256300
5,900,2,900,1951,1,900,5,134800
8,1704,3,1704,2007,2,1704,7,306000
5,1600,1,1484,1957,1,1600,6,207500
4,520,1,520,1927,1,520,4,68500
4,1317,1,649,1920,1,649,6,40000
5,1228,1,1228,1966,1,1228,6,149350
8,1234,2,1234,2007,2,1234,7,179900
5,1700,2,1398,1959,1,1700,6,165500
9,1561,2,1561,2005,2,1561,6,277500
8,2452,3,1117,2004,3,1132,9,309000
5,1097,2,1097,1994,1,1097,6,145000
5,1297,2,1297,1954,1,1297,5,153000
5,1057,1,1057,1953,1,1057,5,109000
4,1152,0,0,1955,2,1152,6,82000
6,1324,2,1088,1965,2,1324,6,160000
5,1328,1,1350,1959,1,1328,5,170000
5,884,2,840,1983,1,884,5,144000
5,938,1,938,1975,1,938,5,130250
5,1150,1,1150,1959,1,1150,6,141000
9,1752,2,1752,2005,2,1752,6,319900
7,2149,2,1434,2003,1,1518,6,239686
8,1656,3,1656,2006,2,1656,7,249700
4,1452,0,736,1920,2,736,8,113000
5,955,1,955,1966,1,955,6,127000
6,1470,2,794,1997,2,794,6,177000
6,1176,2,816,1934,1,816,6,114500
5,816,2,816,1963,1,816,5,110000
9,1842,3,1842,1981,0,1842,5,385000
5,1360,2,384,1955,1,1360,6,130000
6,1425,2,1425,1964,2,1425,7,180500
8,1739,2,970,1999,2,983,7,172500
7,1720,2,860,2004,2,860,7,196500
10,2945,3,1410,2006,3,1426,10,438780
5,780,1,780,1972,1,780,4,124900
6,1158,2,1158,2004,1,1158,5,158000
5,1111,1,530,1920,1,581,6,101000
8,1370,2,1370,2006,2,1370,6,202500
7,1710,2,576,1921,2,902,9,140000
7,2034,2,1057,1997,2,1057,8,219500
8,2473,3,1143,2004,2,1143,9,317000
7,2207,2,1947,1970,2,2207,7,180000
7,1479,2,1453,2003,2,1479,7,226000
4,747,1,747,1945,1,747,4,80000
7,2287,2,1304,1953,2,1304,7,225000
7,2223,2,2223,1973,2,2223,8,244000
4,845,2,845,1982,1,845,4,129500
7,1718,2,832,1998,2,885,7,185000
5,1086,2,1086,1954,1,1086,6,144900
3,1605,1,840,1915,2,840,8,107400
4,988,1,462,1973,1,526,5,91000
4,952,1,952,1956,1,952,4,135750
5,1285,1,672,1948,1,1072,6,127000
4,1768,0,1768,1968,2,1768,8,136500
5,1230,2,440,1910,1,682,5,110000
6,2142,1,896,1968,2,1182,8,193500
6,1337,2,1237,1998,2,1337,5,153500
8,1563,3,1563,2007,2,1563,6,245000
5,1065,2,1065,1960,1,1065,6,126500
7,1474,2,384,1995,2,804,7,168500
8,2417,2,1288,1991,2,1301,9,260000
6,1560,2,684,2005,2,684,6,174000
6,1224,2,612,2009,2,612,4,164500
3,1526,0,1013,1915,1,1013,6,85000
4,990,0,990,1994,1,990,5,123600
4,1040,2,0,1950,1,1040,4,109900
5,1235,2,1235,1961,1,1235,6,98600
5,964,2,876,1921,1,964,5,163500
6,2291,2,1214,1910,2,1260,9,133900
6,1786,2,824,1997,2,905,7,204750
6,1470,2,680,1993,2,680,6,185000
7,1588,2,1588,1999,2,1588,6,214000
4,960,1,960,1965,1,960,6,94750
5,835,1,458,1920,1,835,5,83000
4,1225,0,950,1959,1,1225,6,128950
6,1610,2,1610,1977,2,1610,6,205000
6,1732,2,741,1985,2,977,7,178000
5,1535,2,0,1979,2,1535,8,118964
7,1226,3,1226,2009,2,1226,6,198900
7,1818,1,1040,1931,1,1226,7,169500
8,1992,2,1053,2003,2,1053,9,250000
4,1047,1,641,1885,1,1047,6,100000
5,789,1,789,1948,1,789,5,115000
5,1517,0,793,1919,2,997,7,115000
6,1844,2,1844,1977,2,1844,7,190000
6,1855,1,994,1954,2,1216,7,136900
7,1430,2,384,2000,2,774,7,180000
7,2696,3,1264,2007,2,1282,10,383970
6,2259,2,1809,1953,2,2259,7,217000
6,2320,1,1028,1945,2,1436,9,259500
6,1458,2,729,1999,2,729,5,176000
5,1092,1,1092,1962,1,1092,6,139000
5,1125,2,1125,2006,1,1125,5,155000
7,3222,3,1673,1990,3,1699,11,320000
6,1456,2,728,2005,2,728,8,163990
6,988,2,938,1969,1,988,4,180000
4,1123,1,732,1939,1,772,4,100000
6,1080,1,1080,1958,1,1080,5,136000
6,1199,2,1199,1993,2,1199,5,153900
6,1586,2,1362,1979,2,1586,7,181000
6,754,0,520,1935,1,520,5,84500
6,958,2,1078,1976,2,958,5,128000
5,840,0,672,1930,1,840,5,87000
6,1348,2,660,1966,1,660,6,155000
5,1053,2,1008,1958,1,1053,6,150000
7,2157,2,924,1966,2,1216,8,226000
6,2054,2,992,2000,2,1022,7,244000
5,1327,2,1063,1959,1,1327,7,150750
8,1296,2,1267,2001,2,1296,6,220000
5,1721,2,1461,1968,2,1721,7,180000
7,1682,2,1304,1970,2,1682,7,174000
5,1214,1,1214,1967,2,1214,5,143000
7,1959,3,1907,1988,3,1959,9,171000
8,1852,3,1004,1999,2,1004,7,230000
6,1764,2,928,1997,2,928,7,231500
4,864,0,864,1971,1,864,5,115000
7,1734,2,1734,2005,2,1734,7,260000
5,1385,2,910,1952,2,910,6,166000
7,1501,2,1490,1999,2,1501,6,204000
5,1728,2,1728,1963,2,1728,10,125000
6,1709,2,970,2004,2,970,7,130000
5,875,1,715,1931,1,875,5,105000
7,2035,2,884,2001,2,884,8,222500
7,1080,0,1080,2004,1,1080,6,141000
5,1344,1,896,1936,1,896,7,115000
5,969,2,969,1975,1,969,5,122000
8,1710,3,1710,2007,2,1710,6,372402
6,1993,2,825,1971,2,1097,8,190000
6,1252,2,1602,1960,1,1252,4,235000
6,1200,1,1200,1923,1,1200,7,125000
6,1096,0,572,1924,1,572,5,79000
5,1040,2,0,1950,1,1040,5,109500
8,1968,3,774,2009,2,774,8,269500
7,1947,2,991,2004,2,991,8,254900
7,2462,2,1392,2005,2,1392,9,320000
6,1232,2,1232,1984,2,1232,6,162500
9,2668,3,1572,2003,2,1572,10,412500
7,1541,2,1541,2005,2,1541,7,220000
4,882,0,882,1956,1,882,4,103200
6,1616,1,1149,1926,2,1149,5,152000
5,1355,0,644,1940,2,808,6,127500
5,1867,1,1617,1955,1,1867,7,190000
8,2161,3,1582,2007,1,1610,8,325624
7,1720,2,840,2004,2,840,7,183500
8,1707,2,1686,1981,2,1707,6,228000
5,1382,2,720,1941,1,854,7,128500
6,1656,2,1080,1960,1,1656,7,215000
7,1767,2,1064,1987,2,1064,5,239000
6,1362,2,1362,1961,1,1362,6,163000
6,1651,2,1606,1986,2,1651,7,184000
6,2158,2,1202,1950,2,2158,7,243000
6,2060,2,1151,1988,2,1164,8,211000
5,1920,2,1052,1958,2,1252,8,172500
9,2234,3,2216,2008,2,2234,9,501837
5,968,2,968,1923,1,968,5,100000
6,1525,2,756,2000,2,769,5,177000
7,1802,1,793,1920,1,901,9,200100
5,1340,1,0,1957,1,1340,7,120000
7,2082,2,1362,2003,2,1362,6,200000
5,1252,2,504,1908,1,936,5,127000
10,3608,3,1107,1892,2,1518,12,475000
7,1217,2,1188,1990,2,1217,6,173000
5,1656,1,660,1916,2,808,8,135000
5,1224,2,1086,1979,0,1224,6,153337
8,1593,2,1593,2001,1,1593,5,286000
8,2727,2,853,1932,2,1549,10,315000
7,1479,2,725,1972,1,725,7,184000
7,1431,2,1431,1999,2,1431,6,192000
7,1709,2,970,2004,2,970,7,130000
5,864,1,864,1972,1,864,5,127000
6,1456,2,855,1976,2,855,7,148500
7,1726,3,1726,2007,2,1726,8,311872
